Degrees  Radians   Cosine     Sine    Tangent  Cotangent     Secant   Cosecant
    106     1.85    -0.28     0.96      -3.49      -0.29      -3.63       1.04
    107     1.87    -0.29     0.96      -3.27      -0.31      -3.42       1.05
    108     1.88    -0.31     0.95      -3.08      -0.32      -3.24       1.05
    109     1.90    -0.33     0.95      -2.90      -0.34      -3.07       1.06
    110     1.92    -0.34     0.94      -2.75      -0.36      -2.92       1.06
    111     1.94    -0.36     0.93      -2.61      -0.38      -2.79       1.07
    112     1.95    -0.37     0.93      -2.48      -0.40      -2.67       1.08
    113     1.97    -0.39     0.92      -2.36      -0.42      -2.56       1.09
    114     1.99    -0.41     0.91      -2.25      -0.45      -2.46       1.09
    115     2.01    -0.42     0.91      -2.14      -0.47      -2.37       1.10
    116     2.02    -0.44     0.90      -2.05      -0.49      -2.28       1.11
    117     2.04    -0.45     0.89      -1.96      -0.51      -2.20       1.12
    118     2.06    -0.47     0.88      -1.88      -0.53      -2.13       1.13
    119     2.08    -0.48     0.87      -1.80      -0.55      -2.06       1.14
    120     2.09    -0.50     0.87      -1.73      -0.58      -2.00       1.15
    121     2.11    -0.52     0.86      -1.66      -0.60      -1.94       1.17
    122     2.13    -0.53     0.85      -1.60      -0.62      -1.89       1.18
    123     2.15    -0.54     0.84      -1.54      -0.65      -1.84       1.19
    124     2.16    -0.56     0.83      -1.48      -0.67      -1.79       1.21
    125     2.18    -0.57     0.82      -1.43      -0.70      -1.74       1.22
    126     2.20    -0.59     0.81      -1.38      -0.73      -1.70       1.24
    127     2.22    -0.60     0.80      -1.33      -0.75      -1.66       1.25
    128     2.23    -0.62     0.79      -1.28      -0.78      -1.62       1.27
    129     2.25    -0.63     0.78      -1.23      -0.81      -1.59       1.29
    130     2.27    -0.64     0.77      -1.19      -0.84      -1.56       1.31
    131     2.29    -0.66     0.75      -1.15      -0.87      -1.52       1.33
    132     2.30    -0.67     0.74      -1.11      -0.90      -1.49       1.35
    133     2.32    -0.68     0.73      -1.07      -0.93      -1.47       1.37
    134     2.34    -0.69     0.72      -1.04      -0.97      -1.44       1.39
    135     2.36    -0.71     0.71      -1.00      -1.00      -1.41       1.41
    136     2.37    -0.72     0.69      -0.97      -1.04      -1.39       1.44
    137     2.39    -0.73     0.68      -0.93      -1.07      -1.37       1.47
    138     2.41    -0.74     0.67      -0.90      -1.11      -1.35       1.49
    139     2.43    -0.75     0.66      -0.87      -1.15      -1.33       1.52
    140     2.44    -0.77     0.64      -0.84      -1.19      -1.31       1.56
    141     2.46    -0.78     0.63      -0.81      -1.23      -1.29       1.59
    142     2.48    -0.79     0.62      -0.78      -1.28      -1.27       1.62
    143     2.50    -0.80     0.60      -0.75      -1.33      -1.25       1.66
    144     2.51    -0.81     0.59      -0.73      -1.38      -1.24       1.70
    145     2.53    -0.82     0.57      -0.70      -1.43      -1.22       1.74
    146     2.55    -0.83     0.56      -0.67      -1.48      -1.21       1.79
    147     2.57    -0.84     0.54      -0.65      -1.54      -1.19       1.84
    148     2.58    -0.85     0.53      -0.62      -1.60      -1.18       1.89
    149     2.60    -0.86     0.52      -0.60      -1.66      -1.17       1.94
    150     2.62    -0.87     0.50      -0.58      -1.73      -1.15       2.00
    151     2.64    -0.87     0.48      -0.55      -1.80      -1.14       2.06
    152     2.65    -0.88     0.47      -0.53      -1.88      -1.13       2.13
    153     2.67    -0.89     0.45      -0.51      -1.96      -1.12       2.20
    154     2.69    -0.90     0.44      -0.49      -2.05      -1.11       2.28
    155     2.71    -0.91     0.42      -0.47      -2.14      -1.10       2.37
    156     2.72    -0.91     0.41      -0.45      -2.25      -1.09       2.46
    157     2.74    -0.92     0.39      -0.42      -2.36      -1.09       2.56
    158     2.76    -0.93     0.37      -0.40      -2.48      -1.08       2.67
    159     2.78    -0.93     0.36      -0.38      -2.61      -1.07       2.79
    160     2.79    -0.94     0.34      -0.36      -2.75      -1.06       2.92
    161     2.81    -0.95     0.33      -0.34      -2.90      -1.06       3.07
    162     2.83    -0.95     0.31      -0.32      -3.08      -1.05       3.24
    163     2.84    -0.96     0.29      -0.31      -3.27      -1.05       3.42
    164     2.86    -0.96     0.28      -0.29      -3.49      -1.04       3.63
    165     2.88    -0.97     0.26      -0.27      -3.73      -1.04       3.86
    166     2.90    -0.97     0.24      -0.25      -4.01      -1.03       4.13
    167     2.91    -0.97     0.22      -0.23      -4.33      -1.03       4.45
    168     2.93    -0.98     0.21      -0.21      -4.70      -1.02       4.81
    169     2.95    -0.98     0.19      -0.19      -5.14      -1.02       5.24
    170     2.97    -0.98     0.17      -0.18      -5.67      -1.02       5.76
    171     2.98    -0.99     0.16      -0.16      -6.31      -1.01       6.39
    172     3.00    -0.99     0.14      -0.14      -7.12      -1.01       7.19
    173     3.02    -0.99     0.12      -0.12      -8.14      -1.01       8.21
    174     3.04    -0.99     0.10      -0.11      -9.51      -1.01       9.57
    175     3.05    -1.00     0.09      -0.09     -11.43      -1.00      11.47
    176     3.07    -1.00     0.07      -0.07     -14.30      -1.00      14.34
    177     3.09    -1.00     0.05      -0.05     -19.08      -1.00      19.11
    178     3.11    -1.00     0.03      -0.03     -28.63      -1.00      28.65
    179     3.12    -1.00     0.02      -0.02     -57.28      -1.00      57.29
    180     3.14    -1.00     0.00      -0.00 -376848.00      -1.00  376848.00
    181     3.16    -1.00    -0.02       0.02      57.30      -1.00     -57.31
    182     3.18    -1.00    -0.03       0.03      28.64      -1.00     -28.66
    183     3.19    -1.00    -0.05       0.05      19.08      -1.00     -19.11
    184     3.21    -1.00    -0.07       0.07      14.30      -1.00     -14.34
    185     3.23    -1.00    -0.09       0.09      11.43      -1.00     -11.47
    186     3.25    -0.99    -0.10       0.11       9.51      -1.01      -9.57
    187     3.26    -0.99    -0.12       0.12       8.14      -1.01      -8.21
    188     3.28    -0.99    -0.14       0.14       7.12      -1.01      -7.19
    189     3.30    -0.99    -0.16       0.16       6.31      -1.01      -6.39
    190     3.32    -0.98    -0.17       0.18       5.67      -1.02      -5.76
    191     3.33    -0.98    -0.19       0.19       5.14      -1.02      -5.24
    192     3.35    -0.98    -0.21       0.21       4.70      -1.02      -4.81
    193     3.37    -0.97    -0.22       0.23       4.33      -1.03      -4.45
    194     3.39    -0.97    -0.24       0.25       4.01      -1.03      -4.13
    195     3.40    -0.97    -0.26       0.27       3.73      -1.04      -3.86
    196     3.42    -0.96    -0.28       0.29       3.49      -1.04      -3.63
    197     3.44    -0.96    -0.29       0.31       3.27      -1.05      -3.42
    198     3.46    -0.95    -0.31       0.32       3.08      -1.05      -3.24
    199     3.47    -0.95    -0.33       0.34       2.90      -1.06      -3.07
    200     3.49    -0.94    -0.34       0.36       2.75      -1.06      -2.92
    201     3.51    -0.93    -0.36       0.38       2.61      -1.07      -2.79
    202     3.53    -0.93    -0.37       0.40       2.48      -1.08      -2.67
    203     3.54    -0.92    -0.39       0.42       2.36      -1.09      -2.56
    204     3.56    -0.91    -0.41       0.45       2.25      -1.09      -2.46
    205     3.58    -0.91    -0.42       0.47       2.14      -1.10      -2.37
    206     3.60    -0.90    -0.44       0.49       2.05      -1.11      -2.28
    207     3.61    -0.89    -0.45       0.51       1.96      -1.12      -2.20
    208     3.63    -0.88    -0.47       0.53       1.88      -1.13      -2.13
    209     3.65    -0.87    -0.48       0.55       1.80      -1.14      -2.06
    210     3.67    -0.87    -0.50       0.58       1.73      -1.15      -2.00
    211     3.68    -0.86    -0.52       0.60       1.66      -1.17      -1.94
    212     3.70    -0.85    -0.53       0.62       1.60      -1.18      -1.89
    213     3.72    -0.84    -0.54       0.65       1.54      -1.19      -1.84
    214     3.74    -0.83    -0.56       0.67       1.48      -1.21      -1.79
    215     3.75    -0.82    -0.57       0.70       1.43      -1.22      -1.74
    216     3.77    -0.81    -0.59       0.73       1.38      -1.24      -1.70
    217     3.79    -0.80    -0.60       0.75       1.33      -1.25      -1.66
    218     3.80    -0.79    -0.62       0.78       1.28      -1.27      -1.62
    219     3.82    -0.78    -0.63       0.81       1.23      -1.29      -1.59
    220     3.84    -0.77    -0.64       0.84       1.19      -1.31      -1.56
    221     3.86    -0.75    -0.66       0.87       1.15      -1.33      -1.52
    222     3.87    -0.74    -0.67       0.90       1.11      -1.35      -1.49
    223     3.89    -0.73    -0.68       0.93       1.07      -1.37      -1.47
    224     3.91    -0.72    -0.69       0.97       1.04      -1.39      -1.44
    225     3.93    -0.71    -0.71       1.00       1.00      -1.41      -1.41
    226     3.94    -0.69    -0.72       1.04       0.97      -1.44      -1.39
    227     3.96    -0.68    -0.73       1.07       0.93      -1.47      -1.37
    228     3.98    -0.67    -0.74       1.11       0.90      -1.49      -1.35
    229     4.00    -0.66    -0.75       1.15       0.87      -1.52      -1.33
    230     4.01    -0.64    -0.77       1.19       0.84      -1.56      -1.31
    231     4.03    -0.63    -0.78       1.23       0.81      -1.59      -1.29
    232     4.05    -0.62    -0.79       1.28       0.78      -1.62      -1.27
    233     4.07    -0.60    -0.80       1.33       0.75      -1.66      -1.25
    234     4.08    -0.59    -0.81       1.38       0.73      -1.70      -1.24
    235     4.10    -0.57    -0.82       1.43       0.70      -1.74      -1.22
    236     4.12    -0.56    -0.83       1.48       0.67      -1.79      -1.21
    237     4.14    -0.54    -0.84       1.54       0.65      -1.84      -1.19
    238     4.15    -0.53    -0.85       1.60       0.62      -1.89      -1.18
    239     4.17    -0.52    -0.86       1.66       0.60      -1.94      -1.17
    240     4.19    -0.50    -0.87       1.73       0.58      -2.00      -1.15
    241     4.21    -0.48    -0.87       1.80       0.55      -2.06      -1.14
    242     4.22    -0.47    -0.88       1.88       0.53      -2.13      -1.13
    243     4.24    -0.45    -0.89       1.96       0.51      -2.20      -1.12
    244     4.26    -0.44    -0.90       2.05       0.49      -2.28      -1.11
    245     4.28    -0.42    -0.91       2.14       0.47      -2.37      -1.10
    246     4.29    -0.41    -0.91       2.25       0.45      -2.46      -1.09
    247     4.31    -0.39    -0.92       2.36       0.42      -2.56      -1.09
    248     4.33    -0.37    -0.93       2.48       0.40      -2.67      -1.08
    249     4.35    -0.36    -0.93       2.61       0.38      -2.79      -1.07
    250     4.36    -0.34    -0.94       2.75       0.36      -2.92      -1.06
    251     4.38    -0.33    -0.95       2.90       0.34      -3.07      -1.06
    252     4.40    -0.31    -0.95       3.08       0.32      -3.24      -1.05
    253     4.42    -0.29    -0.96       3.27       0.31      -3.42      -1.05
    254     4.43    -0.28    -0.96       3.49       0.29      -3.63      -1.04
    255     4.45    -0.26    -0.97       3.73       0.27      -3.86      -1.04
    256     4.47    -0.24    -0.97       4.01       0.25      -4.13      -1.03
    257     4.49    -0.22    -0.97       4.33       0.23      -4.45      -1.03
    258     4.50    -0.21    -0.98       4.70       0.21      -4.81      -1.02
    259     4.52    -0.19    -0.98       5.14       0.19      -5.24      -1.02
    260     4.54    -0.17    -0.98       5.67       0.18      -5.76      -1.02
    261     4.56    -0.16    -0.99       6.31       0.16      -6.39      -1.01
    262     4.57    -0.14    -0.99       7.12       0.14      -7.19      -1.01
    263     4.59    -0.12    -0.99       8.14       0.12      -8.21      -1.01
    264     4.61    -0.10    -0.99       9.51       0.11      -9.57      -1.01
    265     4.63    -0.09    -1.00      11.43       0.09     -11.47      -1.00
    266     4.64    -0.07    -1.00      14.30       0.07     -14.33      -1.00
    267     4.66    -0.05    -1.00      19.08       0.05     -19.11      -1.00
    268     4.68    -0.03    -1.00      28.63       0.03     -28.65      -1.00
    269     4.69    -0.02    -1.00      57.28       0.02     -57.29      -1.00
    270     4.71    -0.00    -1.00  251232.00       0.00 -251232.00      -1.00
    271     4.73     0.02    -1.00     -57.30      -0.02      57.31      -1.00
    272     4.75     0.03    -1.00     -28.64      -0.03      28.66      -1.00
    273     4.76     0.05    -1.00     -19.08      -0.05      19.11      -1.00
    274     4.78     0.07    -1.00     -14.30      -0.07      14.34      -1.00
    275     4.80     0.09    -1.00     -11.43      -0.09      11.47      -1.00
    276     4.82     0.10    -0.99      -9.51      -0.11       9.57      -1.01
    277     4.83     0.12    -0.99      -8.14      -0.12       8.21      -1.01
    278     4.85     0.14    -0.99      -7.12      -0.14       7.19      -1.01
    279     4.87     0.16    -0.99      -6.31      -0.16       6.39      -1.01
    280     4.89     0.17    -0.98      -5.67      -0.18       5.76      -1.02
    281     4.90     0.19    -0.98      -5.14      -0.19       5.24      -1.02
    282     4.92     0.21    -0.98      -4.70      -0.21       4.81      -1.02
    283     4.94     0.22    -0.97      -4.33      -0.23       4.45      -1.03
    284     4.96     0.24    -0.97      -4.01      -0.25       4.13      -1.03
    285     4.97     0.26    -0.97      -3.73      -0.27       3.86      -1.04
    286     4.99     0.28    -0.96      -3.49      -0.29       3.63      -1.04
    287     5.01     0.29    -0.96      -3.27      -0.31       3.42      -1.05
    288     5.03     0.31    -0.95      -3.08      -0.32       3.24      -1.05
    289     5.04     0.33    -0.95      -2.90      -0.34       3.07      -1.06
    290     5.06     0.34    -0.94      -2.75      -0.36       2.92      -1.06
    291     5.08     0.36    -0.93      -2.61      -0.38       2.79      -1.07
    292     5.10     0.37    -0.93      -2.48      -0.40       2.67      -1.08
    293     5.11     0.39    -0.92      -2.36      -0.42       2.56      -1.09
    294     5.13     0.41    -0.91      -2.25      -0.45       2.46      -1.09
    295     5.15     0.42    -0.91      -2.14      -0.47       2.37      -1.10
    296     5.17     0.44    -0.90      -2.05      -0.49       2.28      -1.11
    297     5.18     0.45    -0.89      -1.96      -0.51       2.20      -1.12
    298     5.20     0.47    -0.88      -1.88      -0.53       2.13      -1.13
    299     5.22     0.48    -0.87      -1.80      -0.55       2.06      -1.14
    300     5.24     0.50    -0.87      -1.73      -0.58       2.00      -1.15
    301     5.25     0.52    -0.86      -1.66      -0.60       1.94      -1.17
    302     5.27     0.53    -0.85      -1.60      -0.62       1.89      -1.18
    303     5.29     0.54    -0.84      -1.54      -0.65       1.84      -1.19
    304     5.31     0.56    -0.83      -1.48      -0.67       1.79      -1.21
    305     5.32     0.57    -0.82      -1.43      -0.70       1.74      -1.22
    306     5.34     0.59    -0.81      -1.38      -0.73       1.70      -1.24
    307     5.36     0.60    -0.80      -1.33      -0.75       1.66      -1.25
    308     5.38     0.62    -0.79      -1.28      -0.78       1.62      -1.27
    309     5.39     0.63    -0.78      -1.23      -0.81       1.59      -1.29
    310     5.41     0.64    -0.77      -1.19      -0.84       1.56      -1.31
    311     5.43     0.66    -0.75      -1.15      -0.87       1.52      -1.33
    312     5.45     0.67    -0.74      -1.11      -0.90       1.49      -1.35
    313     5.46     0.68    -0.73      -1.07      -0.93       1.47      -1.37
    314     5.48     0.69    -0.72      -1.04      -0.97       1.44      -1.39
    315     5.50     0.71    -0.71      -1.00      -1.00       1.41      -1.41
    316     5.52     0.72    -0.69      -0.97      -1.04       1.39      -1.44
    317     5.53     0.73    -0.68      -0.93      -1.07       1.37      -1.47
    318     5.55     0.74    -0.67      -0.90      -1.11       1.35      -1.49
    319     5.57     0.75    -0.66      -0.87      -1.15       1.33      -1.52
    320     5.59     0.77    -0.64      -0.84      -1.19       1.31      -1.56
    321     5.60     0.78    -0.63      -0.81      -1.23       1.29      -1.59
    322     5.62     0.79    -0.62      -0.78      -1.28       1.27      -1.62
    323     5.64     0.80    -0.60      -0.75      -1.33       1.25      -1.66
    324     5.65     0.81    -0.59      -0.73      -1.38       1.24      -1.70
    325     5.67     0.82    -0.57      -0.70      -1.43       1.22      -1.74
    326     5.69     0.83    -0.56      -0.67      -1.48       1.21      -1.79
    327     5.71     0.84    -0.54      -0.65      -1.54       1.19      -1.84
    328     5.72     0.85    -0.53      -0.62      -1.60       1.18      -1.89
    329     5.74     0.86    -0.52      -0.60      -1.66       1.17      -1.94
    330     5.76     0.87    -0.50      -0.58      -1.73       1.15      -2.00
    331     5.78     0.87    -0.48      -0.55      -1.80       1.14      -2.06
    332     5.79     0.88    -0.47      -0.53      -1.88       1.13      -2.13
    333     5.81     0.89    -0.45      -0.51      -1.96       1.12      -2.20
    334     5.83     0.90    -0.44      -0.49      -2.05       1.11      -2.28
    335     5.85     0.91    -0.42      -0.47      -2.14       1.10      -2.37
    336     5.86     0.91    -0.41      -0.45      -2.25       1.09      -2.46
    337     5.88     0.92    -0.39      -0.42      -2.36       1.09      -2.56
    338     5.90     0.93    -0.37      -0.40      -2.48       1.08      -2.67
    339     5.92     0.93    -0.36      -0.38      -2.61       1.07      -2.79
    340     5.93     0.94    -0.34      -0.36      -2.75       1.06      -2.92
    341     5.95     0.95    -0.33      -0.34      -2.90       1.06      -3.07
    342     5.97     0.95    -0.31      -0.32      -3.08       1.05      -3.24
    343     5.99     0.96    -0.29      -0.31      -3.27       1.05      -3.42
    344     6.00     0.96    -0.28      -0.29      -3.49       1.04      -3.63
    345     6.02     0.97    -0.26      -0.27      -3.73       1.04      -3.86
    346     6.04     0.97    -0.24      -0.25      -4.01       1.03      -4.13
    347     6.06     0.97    -0.22      -0.23      -4.33       1.03      -4.45
    348     6.07     0.98    -0.21      -0.21      -4.70       1.02      -4.81
    349     6.09     0.98    -0.19      -0.19      -5.14       1.02      -5.24
    350     6.11     0.98    -0.17      -0.18      -5.67       1.02      -5.76
    351     6.13     0.99    -0.16      -0.16      -6.31       1.01      -6.39
    352     6.14     0.99    -0.14      -0.14      -7.12       1.01      -7.19
    353     6.16     0.99    -0.12      -0.12      -8.14       1.01      -8.21
    354     6.18     0.99    -0.10      -0.11      -9.51       1.01      -9.57
    355     6.20     1.00    -0.09      -0.09     -11.43       1.00     -11.47
    356     6.21     1.00    -0.07      -0.07     -14.30       1.00     -14.33
    357     6.23     1.00    -0.05      -0.05     -19.08       1.00     -19.11
    358     6.25     1.00    -0.03      -0.03     -28.63       1.00     -28.65
    359     6.27     1.00    -0.02      -0.02     -57.27       1.00     -57.28
    360     6.28     1.00    -0.00      -0.00 -188424.00       1.00 -188424.00
